state_ticker,state_order,state_day_start,state_day_end,state_open,state_stop_loss,state_close_estimate,state_max_r,state_MA_r,state_RSI_r,last_r,state_chain
MRK,2,1670342400.0,1670424000.0,109.218,109.44800000000001,,4.121739130434744,-0.7043478260869093,3.0782608695651574,-0.7043478260869093,"[-0.29565217391302895, -0.9913043478261073, -1.0347826086956322, -1.686956521739124, -1.8608695652173473, -2.295652173913029, -2.4695652173912523, -2.9913043478260457, -3.0347826086956324, -3.0782608695651574, -2.8608695652173473, -2.339130434782554, -2.295652173913029, -1.9478260869565207, -2.208695652173917, -2.730434782608649, -3.0347826086956324, -2.9913043478260457, -3.1217391304347437, -3.252173913043442, -3.295652173913029, -3.556521739130364, -3.556521739130364, -3.513043478260839, -3.686956521739062, -4.03478260869557, -3.513043478260839, -3.904347826086934, -3.7739130434782355, -3.730434782608649, -3.643478260869537, -3.5999999999999504, -3.643478260869537, -3.686956521739062, -3.686956521739062, -3.4695652173912523, -2.4260869565217273, -2.4695652173912523, -2.8173913043478223, -1.469565217391314, -1.2086956521739174, -2.1652173913043304, -2.730434782608649, -2.208695652173917, -2.078260869565219, -2.556521739130426, -2.643478260869537, -2.947826086956459, -3.730434782608649, -4.121739130434744, -3.8173913043477605, -3.513043478260839, -3.339130434782554, -3.686956521739062, -3.0782608695651574, -2.686956521739124, -2.643478260869537, 0.7043478260869093]"
MRK,1,1670597100.0,1670598000.0,110.684,110.374,,0.051612903225823306,,,-1,
MRK,1,1670601600.0,1670605200.0,109.916,109.576,,0.30588235294117105,,,-1,
MRK,1,1670613000.0,1670618400.0,109.149,108.76400000000001,,0.39220779220779173,,,-0.8025974025974151,
MRK,2,1670873100.0,1670873400.0,108.062,108.182,,-0.4,,,-1,"[0.4, 1.2333333333332543]"
MRK,2,1671046500.0,1671048000.0,111.04100000000001,111.37600000000002,,0.74925373134328,,,-1,"[0.08656716417904914, -0.5701492537313796, -0.74925373134328, -0.6298507462686798, 0.4447761194029348, 1.817910447761135]"
MRK,2,1671201900.0,1671202200.0,109.202,109.422,,-0.08181818181818534,,,-0.1272727272727543,"[0.08181818181818534, 0.1272727272727543]"
MRK,2,1671214800.0,1671221400.0,108.692,109.01199999999999,,1.2250000000000134,,,-1,"[-0.09999999999999112, -0.7250000000000133, -0.38125000000000775, -0.13124999999996337, -0.3499999999999911, -0.38125000000000775, -0.5375000000000022, -0.6312500000000077, -0.7562499999999855, -0.5062499999999855, -0.9437499999999966, -0.7562499999999855, -0.9437499999999966, -1.068750000000019, -1.2250000000000134, -1.1312500000000079, -1.1625000000000245, -0.7250000000000133, -0.06874999999997447, 0.6812500000000256, 0.8062500000000478, 0.11875000000003663, 1.1187500000000365]"
MRK,1,1671633900.0,1671732300.0,109.548,109.22800000000001,,6.256250000000119,2.50625000000003,,2.50625000000003,
MRK,1,1671635400.0,1671733200.0,110.086,109.46200000000002,,2.3461538461539155,0.42307692307692923,,0.39102564102565257,
MRK,1,1672239000.0,1672240500.0,112.464,112.154,,-0.1096774193548115,,,-1,
MRK,1,1672246500.0,1672254900.0,111.478,111.258,,1.054545454545457,-0.4454545454545431,,-0.39999999999997415,
MRK,2,1672324800.0,1672325100.0,111.21000000000001,111.31,,-3.000000000000142,,,-1,"[3.3000000000001704, 3.000000000000142]"
MRK,2,1672431000.0,1672432500.0,110.72,110.97,,-0.2400000000000091,,,-1,"[0.39999999999997726, 0.3199999999999932, 0.3199999999999932, 0.2400000000000091, 0.8799999999999955, 1.0400000000000205]"
GILD,2,1670272200.0,1670272500.0,87.436,87.546,,-0.12727272727268968,,,-0.12727272727268968,"[0.5818181818181207, 0.12727272727268968]"
GILD,1,1670874300.0,1671046500.0,87.318,87.148,,11.36470588235284,3.4235294117647177,,3.4235294117647177,
GILD,1,1671222900.0,1671460800.0,86.87599999999999,86.68599999999999,,0.12631578947376532,,,-1,
GILD,2,1671481800.0,1671560700.0,86.07000000000001,86.32000000000001,10.771200000000034,16.32000000000005,4.880000000000052,13.400000000000034,4.880000000000052,"[0.1199999999999477, 0.4399999999999977, 0.47999999999996135, -13.400000000000034, -15.400000000000034, -16.32000000000005, -15.400000000000034, -12.360000000000014, -10.640000000000043, -9.480000000000018, -10.360000000000014, -8.800000000000011, -8.920000000000016, -9.880000000000052, -8.960000000000036, -9.000000000000057, -8.680000000000007, -8.720000000000027, -8.760000000000048, -8.560000000000002, -8.880000000000052, -9.080000000000041, -10.600000000000023, -11.240000000000009, -10.440000000000055, -9.32000000000005, -8.840000000000032, -8.480000000000018, -7.960000000000036, -8.360000000000014, -7.840000000000032, -7.680000000000007, -7.160000000000025, -7.760000000000048, -7.1200000000000045, -6.880000000000052, -6.920000000000016, -7.000000000000057, -6.720000000000027, -7.1200000000000045, -7.360000000000014, -7.560000000000002, -7.560000000000002, -6.800000000000011, -6.800000000000011, -6.080000000000041, -6.0400000000000205, -5.240000000000009, -4.880000000000052]"
GILD,2,1671653700.0,1671723300.0,85.07,85.21999999999998,,4.400000000000228,,,-0.46666666666674245,"[-0.13333333333331437, -0.5999999999999621, -1.5333333333333523, -0.46666666666664774, 0.2666666666667235, -0.13333333333331437, -4.333333333333523, -3.866666666666875, -3.8000000000001704, -3.6000000000001515, -4.000000000000189, -4.400000000000228, -3.266666666666818, -3.200000000000114, -2.600000000000057, -0.7333333333333713, 0.20000000000001894, 0.46666666666674245]"
GILD,2,1671821400.0,1672152000.0,84.544,84.684,,1.885714285714248,,,-1,"[-0.09999999999996954, -0.2428571428570834, -0.3857142857142988, -0.09999999999996954, 0.18571428571425816, 0.25714285714286583, -0.2428571428570834, -0.2428571428570834, -0.09999999999996954, 0.04285714285714431, -0.6714285714285265, -0.3857142857142988, 0.11428571428575199, -0.17142857142857723, -0.9571428571428557, -1.8142857142856403, -1.885714285714248, -1.3142857142856912, -1.6714285714285264, -0.8142857142856403, -1.6714285714285264, -1.8142857142856403, -1.0999999999999694, 2.257142857142866]"
PYPL,2,1670337000.0,1670431500.0,73.612,74.082,,4.940425531914881,,2.7276595744680843,-1,"[-0.6212765957446857, -1.0042553191489263, -1.961702127659573, -1.961702127659573, -2.7276595744680843, -3.472340425531904, -3.7063829787233926, -4.55744680851064, -4.536170212765949, -4.365957446808506, -3.9191489361702194, -3.7914893617021295, -3.387234042553197, -3.3446808510638135, -2.9404255319148813, -3.2808510638297985, -3.7063829787233926, -3.6425531914893474, -3.514893617021287, -2.9829787234042646, -2.8340425531914826, -3.0680851063829713, -2.1957446808510617, -2.472340425531904, -2.2382978723404148, -2.259574468085107, -2.0468085106382796, -2.2808510638297683, -2.748936170212776, -2.812765957446791, -2.6851063829787307, -2.8340425531914826, -2.7702127659574374, -3.5574468085106408, -3.1957446808510617, -3.153191489361708, -3.004255319148926, -2.9191489361702194, -3.110638297872325, -3.110638297872325, -3.0893617021276634, -3.259574468085107, -3.153191489361708, -3.578723404255302, -3.323404255319152, -3.30212765957446, -3.7702127659574374, -3.8553191489361747, -3.7702127659574374, -3.7276595744680843, -3.5574468085106408, -3.6212765957446855, -3.7276595744680843, -3.7063829787233926, -4.068085106382972, -4.089361702127663, -4.068085106382972, -4.17446808510637, -4.153191489361708, -4.217021276595753, -4.259574468085106, -4.217021276595753, -3.8978723404255278, -4.0042553191489265, -3.6425531914893474, -3.7276595744680843, -3.30212765957446, -3.5361702127659487, -3.30212765957446, -4.025531914893618, -3.8553191489361747, -4.0042553191489265, -3.9191489361702194, -3.6851063829787307, -3.323404255319152, -3.110638297872325, -3.0468085106382796, -3.110638297872325, -2.961702127659573, -3.153191489361708, -3.17446808510637, -3.17446808510637, -3.17446808510637, -3.2382978723404148, -4.365957446808506, -4.578723404255332, -4.472340425531904, -3.9404255319148813, -3.748936170212776, -4.17446808510637, -4.089361702127663, -4.6212765957446855, -4.919148936170219, -4.770212765957438, -4.55744680851064, -4.6212765957446855, -4.642553191489347, -4.727659574468084, -4.536170212765949, -4.42978723404255, -4.2808510638297985, -4.259574468085106, -4.472340425531904, -4.2808510638297985, -4.025531914893618, -3.876595744680836, -3.876595744680836, -3.6425531914893474, -3.876595744680836, -3.7276595744680843, -3.578723404255302, -3.578723404255302, -3.663829787234039, -3.6212765957446855, -3.7914893617021295, -3.7914893617021295, -4.493617021276595, -2.6212765957446855, -2.514893617021257, -3.2170212765957533, -4.387234042553197, -4.493617021276595, -4.940425531914881, -4.153191489361708, -4.2808510638297985, -3.7702127659574374, -3.4936170212765956, -4.110638297872325, -3.7702127659574374, -4.195744680851061, -4.6212765957446855, -3.663829787234039, -2.8553191489361747, -2.3446808510638135, -2.7276595744680843, -2.4936170212765956, -2.6212765957446855, -2.0893617021276634, -2.30212765957446, -3.451063829787242, -3.6851063829787307, -3.6212765957446855, -3.0468085106382796, -0.6212765957446857, 2.634042553191495]"
PYPL,1,1670951700.0,1670955000.0,73.392,72.937,,0.30329670329671593,-0.2461538461538356,,-0.1802197802197669,
PYPL,2,1671189000.0,1671201900.0,69.326,70.14200000000001,,0.4975490196078228,,,-1,"[-0.06862745098038754, -0.3504901960784085, -0.4975490196078228, -0.3749999999999891, -0.4240196078431156, -0.48529411764703245, -0.3749999999999891, -0.3627450980391988, -0.3749999999999891, -0.3627450980391988, -0.12990196078430438, -0.1421568627450947, -0.10539215686274113, 0.1274509803921707, 0.017156862745109948, -0.056372549019597214, 0.0416666666666732, 0.10294117647059003, 0.15196078431373394, 0.0416666666666732, 0.07843137254902678, 0.17647058823529718, 0.09068627450981712, 0.09068627450981712, 0.11519607843138036, 0.10294117647059003, 0.1274509803921707, 0.06617647058823645, 0.06617647058823645, -0.044117647058806886, -0.15441176470586762, -0.0931372549019508, -0.0931372549019508, -0.10539215686274113, -0.0931372549019508, -0.0931372549019508, -0.0931372549019508, 0.05392156862746353, 0.237745098039214, 0.07843137254902678, 0.3970588235294187, 0.44607843137254516, 0.9240196078431243, 1.0220588235293948]"
PYPL,2,1671135900.0,1671202200.0,69.85000000000001,70.25,,2.325000000000067,,,-1,"[-3.5527136788005767e-14, 0.2249999999999778, -0.45000000000002666, -0.8000000000000356, -2.0750000000000757, -2.000000000000071, -1.4500000000000621, -2.0250000000000488, -2.325000000000067, -2.0750000000000757, -2.1750000000000576, -2.300000000000053, -2.0750000000000757, -2.050000000000062, -2.0750000000000757, -2.050000000000062, -1.5750000000000577, -1.6000000000000711, -1.5250000000000665, -1.0500000000000267, -1.2750000000000399, -1.425000000000049, -1.225000000000049, -1.1000000000000534, -1.0000000000000355, -1.225000000000049, -1.1500000000000443, -0.9500000000000444, -1.125000000000031, -1.125000000000031, -1.07500000000004, -1.1000000000000534, -1.0500000000000267, -1.1750000000000578, -1.1750000000000578, -1.4000000000000354, -1.6250000000000488, -1.5000000000000533, -1.5000000000000533, -1.5250000000000665, -1.5000000000000533, -1.5000000000000533, -1.5000000000000533, -1.2000000000000355, -0.8250000000000488, -1.1500000000000443, -0.5000000000000178, -0.40000000000003555, 0.5749999999999866, 0.7749999999999867, 1.1000000000000179]"
