state_ticker,state_order,state_day_start,state_day_end,state_open,state_stop_loss,state_close_estimate,state_max_r,state_MA_r,state_RSI_r,last_r,state_chain
MRK,2,1662560400.0,1662561300.0,86.386,86.67099999999999,,-0.11929824561405766,,,-1,"[0.11929824561405766, 0.4701754385964981, 0.8210526315789883, 1.2070175438596926]"
MRK,2,1662645900.0,1662646800.0,86.508,86.838,,0.2969696969696954,,,-1,"[-0.2969696969696954, -0.11515151515150576, 0.7636363636363965, 1.006060606060635]"
MRK,2,1663011600.0,1663163400.0,87.692,87.81199999999998,8.536000000000646,17.266666666667962,3.100000000000249,8.016666666667222,3.100000000000249,"[-0.09999999999989342, -8.016666666667222, -7.1000000000004855, -8.433333333333898, -10.433333333334135, -12.433333333334254, -12.016666666667577, -12.933333333334312, -12.683333333334282, -12.016666666667577, -11.85000000000093, -12.433333333334254, -10.850000000000811, -11.35000000000087, -10.183333333334105, -11.016666666667458, -11.183333333334224, -10.350000000000753, -9.183333333333987, -9.683333333334046, -9.433333333334016, -10.016666666667458, -11.35000000000087, -12.350000000000989, -11.35000000000087, -11.100000000000842, -11.183333333334224, -11.933333333334193, -12.266666666667605, -11.683333333334165, -10.183333333334105, -9.183333333333987, -9.100000000000723, -8.933333333333957, -9.600000000000664, -10.5166666666674, -9.933333333334076, -10.766666666667428, -10.683333333334165, -9.26666666666737, -9.600000000000664, -7.850000000000574, -8.26666666666725, -7.933333333333957, -7.933333333333957, -7.850000000000574, -7.350000000000515, -8.933333333333957, -9.183333333333987, -9.5166666666674, -9.350000000000753, -9.100000000000723, -8.933333333333957, -9.850000000000692, -10.683333333334165, -9.5166666666674, -8.683333333333927, -10.100000000000723, -10.766666666667428, -10.433333333334135, -11.516666666667517, -11.6000000000009, -11.6000000000009, -12.516666666667636, -12.85000000000093, -13.433333333334371, -13.100000000000959, -14.516666666667755, -14.266666666667724, -13.683333333334401, -14.266666666667724, -16.183333333334577, -16.51666666666799, -17.266666666667962, -7.183333333333868, -5.683333333333691, -3.100000000000249]"
MRK,2,1663249500.0,1663251900.0,86.412,86.632,,0.5090909090909526,,,-0.6727272727272586,"[-0.5090909090909526, -0.5090909090909526, -0.32727272727274137, -0.14545454545459477, -0.009090909090952545, 0.218181818181763, -0.14545454545459477, 0.49090909090904744, 0.6727272727272586]"
MRK,1,1663338000.0,1663338600.0,87.21799999999999,86.99799999999999,,-0.218181818181763,,,-0.8090909090908363,
MRK,1,1663355400.0,1663594800.0,87.426,87.286,,2.0999999999999694,-11.685714285714207,,-1,
MRK,1,1663616100.0,1663681200.0,86.53999999999999,86.44,,2.200000000000256,,,-1,
MRK,2,1663695600.0,1663702500.0,85.906,86.016,,2.2363636363637327,,,-1,"[-0.32727272727274137, -1.3272727272727414, -2.145454545454595, -2.054545454545457, -1.8727272727273103, -2.145454545454595, -2.2363636363637327, -2.2363636363637327, -1.4181818181818793, -1.3272727272727414, -1.8727272727273103, -2.2363636363637327, -1.7818181818183016, -0.4181818181818793, -1.4181818181818793, -0.9636363636364482, -1.5090909090910172, -1.9636363636364482, -0.8727272727273103, -0.7818181818183016, 0.036363636363551805, 0.4909090909089829, 0.6727272727272586, 1.6727272727272586]"
MRK,1,1664549400.0,1664549700.0,87.018,86.898,,-1.0666666666666271,,,-1,
GILD,1,1662731400.0,1663076400.0,65.018,64.798,9.816000000000068,14.872727272727374,4.918181818181814,11.645454545454594,4.918181818181814,
